방송명,방송날짜,식당명,주소,업종
수요미식회,2018년 2월 07일 ,산비탈,경기 포천시 영북면 산정호수로 295,한식
수요미식회,2018년 2월 14일 ,엘림들깨수제비칼국수,서울 강북구 삼각산로 67,한식
수요미식회,2018년 2월 14일 ,얼큰한 조벡이 수제비,서울 종로구 인사동5길 15-1,한식
수요미식회,2018년 2월 21일 ,우텐더,서울 강남구 압구정로42길 25-10,한식
수요미식회,2018년 2월 21일 ,삼정하누,서울 강남구 봉은사로26길 12,한식
수요미식회,2018년 2월 28일 ,남도음식전문점,서울 관악구 관악로28길 7,한식
수요미식회,2018년 2월 28일 ,해남집,서울시 강남구 신사동 508-1,한식
수요미식회,2018년 3월 07일 ,몽고네,서울 서대문구 연희로11가길 53,양식
수요미식회,2018년 3월 07일 ,또이또이베트남,서울 용산구 이태원로 136-1,베트남
수요미식회,2018년 3월 07일 ,송화산시도삭면,서울 광진구 뚝섬로27길 48,중식
수요미식회,2018년 3월 14일 ,미당순두부,서울 종로구 삼일대로 388-12,한식
수요미식회,2018년 3월 14일 ,기와집순두부,경기 남양주시 조안면 북한강로 133,한식
수요미식회,2018년 3월 21일 ,수영돼지국밥,부산 수영구 무학로 6,한식
수요미식회,2018년 3월 21일 ,동부식육식당,경남 밀양시 무안면 무안중앙길 5,한식
수요미식회,2018년 3월 21일 ,옥동식,서울 마포구 양화로7길 44-10,한식
수요미식회,2018년 3월 28일 ,목포낙지마을,서울 종로구 지봉로 12,한식
수요미식회,2018년 3월 28일 ,충무로쭈꾸미불고기,서울 중구 퇴계로31길 11,한식
수요미식회,2018년 4월 04일 ,우정양곱창,서울 강남구 도산대로30길 23,한식
수요미식회,2018년 4월 04일 ,먹거리양곱창,서울 서초구 강남대로99길 35,한식
수요미식회,2018년 4월 11일 ,우동가조쿠,서울 성동구 왕십리로 215-1,일식
수요미식회,2018년 4월 11일 ,미타우동,서울 송파구 삼전로12길 4,일식
수요미식회,2018년 5월 02일 ,고암식당,서울 용산구 이태원로27가길 5,한식
수요미식회,2018년 5월 02일 ,대우부대찌개,서울 강남구 테헤란로25길 34,한식
수요미식회,2018년 5월 16일 ,원조마늘통닭,서울 영등포구 도림로 471,치킨
수요미식회,2018년 5월 16일 ,네키드윙즈,서울특별시 용산구 녹사평대로 174-11,치킨
수요미식회,2018년 5월 23일 ,학교가는길,경기도 부천시 지봉로34번길 38,분식
수요미식회,2018년 5월 23일 ,국미당,서울 강남구 남부순환로359길 19,분식
수요미식회,2018년 6월 07일 ,만포면옥,서울 중구 마른내로 85,한식
수요미식회,2018년 6월 07일 ,양각도,경기 고양시 일산동구 강송로74번길 8-6,한식
수요미식회,2018년 6월 14일 ,현대본가,서울 용산구 이태원로4길 24,한식
수요미식회,2018년 6월 14일 ,호왕,서울 용산구 녹사평대로54길 20,한식
수요미식회,2018년 6월 21일 ,송백보리밥,경기 여주시 강천면 강문로 267,한식
수요미식회,2018년 6월 21일 ,옥천집,서울 양천구 목동로2길 1,한식
